5600-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
sec,CH1,CH14,CH40,CH42,CH47,CH54,
,32835,32835,32835,32835,32835,32835,
12863.6,6.11115,0.199891,2.258,11.0254,722,0,
12863.6,6.11115,0.199891,2.258,11.0254,722,0,
12863.6,6.11084,0.199891,2.258,11.0254,722,0,
12863.6,6.11023,0.202943,2.258,11.0254,722,0,
12863.6,6.11084,0.199891,2.258,11.0254,722,0,
12863.6,6.11115,0.199891,2.258,11.0254,722,0,
12863.6,6.11053,0.202943,2.258,11.0254,722,0,
12863.6,6.11053,0.199891,2.258,11.0254,722,0,
12863.6,6.11145,0.199891,2.258,11.0254,722,0,
12863.6,6.11115,0.202943,2.258,11.0254,722,0,
12863.6,6.10657,0.198365,2.258,11.0254,722,0,
12863.6,6.10626,0.202943,2.258,11.0254,722,0,
12863.6,6.10626,0.201417,2.258,11.0254,722,0,
12863.6,6.10657,0.201417,2.258,11.0254,722,0,
12863.6,6.10657,0.204469,2.258,11.0254,722,0,
12863.6,6.10626,0.202943,2.258,11.0254,722,0,
12863.6,6.10657,0.198365,2.258,11.0254,722,0,
12863.6,6.10565,0.199891,2.258,11.0254,722,0,
12863.6,6.10626,0.202943,2.258,11.0254,722,0,
12863.6,6.10535,0.201417,2.258,11.0254,722,0,
12863.6,6.10596,0.202943,2.258,11.0254,722,0,
12863.6,6.10626,0.204469,2.258,11.0254,722,0,
12863.6,6.10565,0.202943,2.258,11.0254,722,0,
12863.6,6.10565,0.202943,2.258,11.0254,722,0,
12863.6,6.10626,0.204469,2.258,11.0254,722,0,
12863.6,6.10535,0.204469,2.258,11.0254,722,0,
12863.6,6.10626,0.202943,2.258,11.0254,722,0,
12863.6,6.10138,0.201417,2.258,11.0254,722,0,
12863.6,6.10077,0.201417,2.258,11.0254,722,0,
12863.6,6.10107,0.201417,2.258,11.0254,722,0,
12863.6,6.10077,0.199891,2.258,11.0254,722,0,
12863.6,6.10138,0.202943,2.258,11.0254,722,0,
12863.6,6.10138,0.201417,2.258,11.0254,722,0,
12863.6,6.10107,0.199891,2.258,11.0254,722,0,
12863.6,6.10138,0.199891,2.258,11.0254,722,0,
12863.6,6.10138,0.202943,2.258,11.0254,722,0,
12863.6,6.10138,0.202943,2.258,11.0254,722,0,
12863.6,6.10046,0.202943,2.258,11.0254,722,0,
12863.6,6.10168,0.201417,2.258,11.0254,722,0,
12863.6,6.10077,0.202943,2.258,11.0254,722,0,
12863.6,6.10107,0.199891,2.258,11.0254,722,0,
12863.6,6.10168,0.202943,2.258,11.0254,722,0,
12863.6,6.10107,0.198365,2.258,11.0254,722,0,
12863.7,6.10077,0.202943,2.258,11.0254,722,0,
12863.7,6.09985,0.201417,2.258,11.0254,722,0,
12863.7,6.09711,0.201417,2.258,11.0254,722,0,
12863.7,6.09589,0.202943,2.258,11.0254,722,0,
12863.7,6.09711,0.199891,2.258,11.0254,722,0,
12863.7,6.0965,0.199891,2.258,11.0254,722,0,
12863.7,6.09711,0.202943,2.258,11.0254,722,0,
12863.7,6.09772,0.199891,2.258,11.0254,722,0,
12863.7,6.0965,0.199891,2.258,11.0254,722,0,
12863.7,6.0965,0.202943,2.258,11.0254,722,0,
12863.7,6.09711,0.201417,2.258,11.0254,722,0,
12863.7,6.0968,0.201417,2.258,11.0254,722,0,
12863.7,6.09711,0.201417,2.258,11.0254,722,0,
12863.7,6.0968,0.201417,2.258,11.0254,722,0,
12863.7,6.0968,0.198365,2.258,11.0254,722,0,
12863.7,6.0968,0.199891,2.258,11.0254,722,0,
12863.7,6.0968,0.201417,2.258,11.0254,722,0,
12863.7,6.0968,0.201417,2.258,11.0254,722,0,
12863.7,6.09619,0.201417,2.258,11.0254,722,0,
12863.7,6.09161,0.199891,2.258,11.0254,722,0,
12863.7,6.0907,0.199891,2.258,11.0254,722,0,
12863.7,6.09131,0.199891,2.258,11.0254,722,0,
12863.7,6.09131,0.201417,2.258,11.0254,722,0,
12863.7,6.0907,0.202943,2.258,11.0254,722,0,
12863.7,6.0907,0.198365,2.258,11.0254,722,0,
12863.7,6.09039,0.199891,2.258,11.0254,722,0,
12863.7,6.0907,0.202943,2.258,11.0254,722,0,
12863.7,6.09131,0.202943,2.258,11.0254,722,0,
12863.7,6.09131,0.204469,2.258,11.0254,722,0,
12863.7,6.0907,0.201417,2.258,11.0254,722,0,
12863.7,6.09131,0.198365,2.258,11.0254,722,0,
12863.7,6.09039,0.202943,2.258,11.0254,722,0,
12863.7,6.091,0.202943,2.258,11.0254,722,0,
12863.7,6.091,0.202943,2.258,11.0254,722,0,
12863.7,6.09161,0.201417,2.258,11.0254,722,0,
12863.7,6.09161,0.199891,2.258,11.0254,722,0,
12863.7,6.08673,0.202943,2.258,11.0254,722,0,
12863.7,6.08551,0.202943,2.258,11.0254,722,0,
12863.7,6.08612,0.198365,2.258,11.0254,722,0,
12863.7,6.08612,0.204469,2.258,11.0254,722,0,
12863.7,6.08643,0.199891,2.258,11.0254,722,0,
12863.7,6.08704,0.201417,2.258,11.0254,722,0,
12863.7,6.08612,0.199891,2.258,11.0254,722,0,
12863.7,6.08612,0.201417,2.258,11.0254,722,0,
12863.7,6.08612,0.201417,2.258,11.0254,722,0,
12863.7,6.08612,0.202943,2.258,11.0254,722,0,
12863.7,6.08673,0.198365,2.258,11.0254,722,0,
12863.7,6.08643,0.201417,2.258,11.0254,722,0,
12863.7,6.08673,0.199891,2.258,11.0254,722,0,
12863.8,6.08673,0.199891,2.258,11.0254,722,0,
12863.8,6.08612,0.201417,2.258,11.0254,722,0,
12863.8,6.08673,0.196839,2.258,11.0254,722,0,
12863.8,6.08673,0.201417,2.258,11.0254,722,0,
12863.8,6.08612,0.201417,2.258,11.0254,722,0,
12863.8,6.08154,0.204469,2.258,11.0254,722,0,
12863.8,6.08154,0.198365,2.258,11.0254,722,0,
12863.8,6.08154,0.201417,2.258,11.0254,722,0,
12863.8,6.08124,0.199891,2.258,11.0254,722,0,
12863.8,6.08215,0.198365,2.258,11.0254,722,0,
12863.8,6.08185,0.201417,2.258,11.0254,722,0,
12863.8,6.08154,0.201417,2.258,11.0254,722,0,
12863.8,6.08185,0.202943,2.258,11.0254,722,0,
12863.8,6.08246,0.201417,2.258,11.0254,722,0,
12863.8,6.08124,0.204469,2.258,11.0254,722,0,
12863.8,6.08185,0.199891,2.258,11.0254,722,0,
12863.8,6.08124,0.201417,2.258,11.0254,722,0,
12863.8,6.08154,0.201417,2.258,11.0254,722,0,
12863.8,6.08154,0.201417,2.258,11.0254,722,0,
12863.8,6.08154,0.202943,2.258,11.0254,722,0,
12863.8,6.08124,0.201417,2.258,11.0254,722,0,
12863.8,6.08154,0.202943,2.258,11.0254,722,0,
12863.8,6.08215,0.201417,2.258,11.0254,722,0,
12863.8,6.07727,0.198365,2.258,11.0254,722,0,
12863.8,6.07666,0.199891,2.258,11.0254,722,0,
12863.8,6.07666,0.204469,2.258,11.0254,722,0,
12863.8,6.07605,0.204469,2.258,11.0254,722,0,
12863.8,6.07666,0.201417,2.258,11.0254,722,0,
12863.8,6.07635,0.202943,2.258,11.0254,722,0,
12863.8,6.07697,0.201417,2.258,11.0254,722,0,
