5700-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
min,CH1,CH14,CH40,CH42,CH47,CH54,
,90222,90222,90222,90222,90222,90222,
202.846,4.62677,2.19269,0.398,3.91441,426,5,
202.846,4.62708,2.19421,0.398,3.91441,426,5,
202.846,4.62646,2.19727,0.398,3.91441,426,5,
202.846,4.62677,2.19269,0.398,3.91441,426,5,
202.846,4.62646,2.19421,0.398,3.91441,426,5,
202.846,4.62616,2.19421,0.398,3.91441,426,5,
202.847,4.62677,2.19574,0.398,3.91441,426,5,
202.847,4.62616,2.19116,0.398,3.91441,426,5,
202.847,4.6225,2.19269,0.398,3.91441,426,5,
202.847,4.62128,2.19269,0.398,3.91441,426,5,
202.847,4.62189,2.19574,0.398,3.91441,426,5,
202.847,4.62036,2.19574,0.398,3.91441,426,5,
202.847,4.62158,2.19116,0.398,3.91441,426,5,
202.847,4.62097,2.19269,0.398,3.91441,426,5,
202.847,4.62219,2.19116,0.398,3.91441,426,5,
202.847,4.62189,2.19269,0.398,3.91441,426,5,
202.847,4.62189,2.19574,0.398,3.91441,426,5,
202.847,4.61884,2.19574,0.398,3.91441,426,5,
202.847,4.61609,2.19421,0.398,3.91441,426,5,
202.847,4.61761,2.19421,0.398,3.91441,426,5,
202.847,4.6167,2.19421,0.398,3.91441,426,5,
202.847,4.617,2.19574,0.398,3.91441,426,5,
202.847,4.61609,2.19116,0.398,3.91441,426,5,
202.847,4.6167,2.19421,0.398,3.91441,426,5,
202.847,4.617,2.19421,0.398,3.91441,426,5,
202.847,4.61639,2.19574,0.398,3.91441,426,5,
202.847,4.6167,2.19727,0.398,3.91441,426,5,
202.847,4.61243,2.19574,0.398,3.91441,426,5,
202.847,4.61151,2.19116,0.398,3.91441,426,5,
202.847,4.61243,2.19421,0.398,3.91441,426,5,
202.847,4.61182,2.18964,0.398,3.91441,426,5,
202.847,4.61182,2.19421,0.398,3.91441,426,5,
202.847,4.61212,2.19116,0.398,3.91441,426,5,
202.847,4.61182,2.19421,0.398,3.91441,426,5,
202.847,4.61212,2.19421,0.398,3.91441,426,5,
202.847,4.61151,2.19421,0.398,3.91441,426,5,
202.848,4.60876,2.19421,0.398,3.91441,426,5,
202.848,4.60663,2.19269,0.398,3.91441,426,5,
202.848,4.60663,2.19269,0.398,3.91441,426,5,
202.848,4.60693,2.19421,0.398,3.91441,426,5,
202.848,4.60693,2.19574,0.398,3.91441,426,5,
202.848,4.60663,2.19421,0.398,3.91441,426,5,
202.848,4.60663,2.19421,0.398,3.91441,426,5,
202.848,4.60693,2.19421,0.398,3.91441,426,5,
202.848,4.60632,2.19116,0.398,3.91441,426,5,
202.848,4.60724,2.19574,0.398,3.91441,426,5,
202.848,4.60205,2.19421,0.398,3.91441,426,5,
202.848,4.60144,2.19421,0.398,3.91441,426,5,
202.848,4.60205,2.19574,0.398,3.91441,426,5,
202.848,4.60205,2.19421,0.398,3.91441,426,5,
202.848,4.60266,2.19421,0.398,3.91441,426,5,
202.848,4.60236,2.19574,0.398,3.91441,426,5,
202.848,4.60205,2.19421,0.398,3.91441,426,5,
202.848,4.60175,2.19421,0.398,3.91441,426,5,
202.848,4.60144,2.19421,0.398,3.91441,426,5,
202.848,4.59717,2.19574,0.398,3.91441,426,5,
202.848,4.59717,2.19421,0.398,3.91441,426,5,
202.848,4.59717,2.19116,0.398,3.91441,426,5,
202.848,4.59778,2.19421,0.398,3.91441,426,5,
202.848,4.59747,2.19269,0.398,3.91441,426,5,
202.848,4.59686,2.19574,0.398,3.91441,426,5,
202.848,4.59625,2.19574,0.398,3.91441,426,5,
202.848,4.59686,2.19574,0.398,3.91441,426,5,
202.848,4.59717,2.19269,0.398,3.91441,426,5,
202.848,4.59259,2.19421,0.398,3.91441,426,5,
202.849,4.59198,2.19574,0.398,3.91441,426,5,
202.849,4.59259,2.19421,0.398,3.91441,426,5,
202.849,4.59259,2.19116,0.398,3.91441,426,5,
202.849,4.59167,2.19421,0.398,3.91441,426,5,
202.849,4.59198,2.19116,0.398,3.91441,426,5,
202.849,4.5929,2.19574,0.398,3.91441,426,5,
202.849,4.59259,2.19727,0.398,3.91441,426,5,
202.849,4.58923,2.19421,0.398,3.91441,426,5,
202.849,4.5871,2.19421,0.398,3.91441,426,5,
202.849,4.58771,2.19727,0.398,3.91441,426,5,
202.849,4.58801,2.19727,0.398,3.91441,426,5,
202.849,4.5874,2.19116,0.398,3.91441,426,5,
202.849,4.58771,2.19574,0.398,3.91441,426,5,
202.849,4.58649,2.19421,0.398,3.91441,426,5,
202.849,4.5874,2.19421,0.398,3.91441,426,5,
202.849,4.5874,2.19421,0.398,3.91441,426,5,
202.849,4.58313,2.19421,0.398,3.91441,426,5,
202.849,4.58282,2.19116,0.398,3.91441,426,5,
202.849,4.58252,2.19421,0.398,3.91441,426,5,
202.849,4.58252,2.19727,0.398,3.91441,426,5,
202.849,4.58282,2.19574,0.398,3.91441,426,5,
202.849,4.58252,2.19421,0.398,3.91441,426,5,
202.849,4.58282,2.19574,0.398,3.91441,426,5,
202.849,4.57916,2.19116,0.398,3.91441,426,5,
202.849,4.57764,2.19269,0.398,3.91441,426,5,
202.849,4.57764,2.19421,0.398,3.91441,426,5,
202.849,4.57733,2.19269,0.398,3.91441,426,5,
202.849,4.57764,2.19421,0.398,3.91441,426,5,
202.849,4.57794,2.19574,0.398,3.91441,426,5,
202.849,4.57794,2.19421,0.398,3.91441,426,5,
202.85,4.57733,2.19421,0.398,3.91441,426,5,
202.85,4.57367,2.19269,0.398,3.91441,426,5,
202.85,4.57214,2.19269,0.398,3.91441,426,5,
202.85,4.57245,2.19421,0.398,3.91441,426,5,
202.85,4.57245,2.19269,0.398,3.91441,426,5,
202.85,4.57214,2.19574,0.398,3.91441,426,5,
202.85,4.57214,2.19116,0.398,3.91441,426,5,
202.85,4.57275,2.19116,0.398,3.91441,426,5,
202.85,4.57184,2.19574,0.398,3.91441,426,5,
202.85,4.56818,2.19269,0.398,3.91441,426,5,
202.85,4.56757,2.19269,0.398,3.91441,426,5,
