min,CH1,CH14,CH40,CH42,CH47,CH54,
13.8033,4.41498,0.602723,0,19.9468,6,0,
13.8067,4.36066,0.599671,2.62,19.9468,6,0,
13.81,4.35547,0.602723,2.62,19.9468,6,0,
13.8133,4.34692,0.601197,2.62,19.9468,6,0,
13.8167,4.32159,0.585938,2.62,19.9468,6,0,
13.82,4.32678,0.58899,2.62,19.9468,6,0,
13.8233,4.36523,0.58899,2.62,19.9468,6,0,
13.8267,4.47296,0.601197,2.62,19.9468,6,0,
13.83,4.78241,0.585938,2.62,19.9468,6,0,
13.8333,5.13123,0.58899,2.62,5.52181,6,0,
13.8367,5.24628,0.58899,2.62,5.52181,6,0,
13.84,5.09064,0.599671,1.612,5.52181,6,0,
13.8433,4.88525,0.599671,1.612,5.52181,6,0,
13.8467,4.6994,0.587464,1.612,5.52181,6,0,
13.85,4.55109,0.587464,1.612,5.52181,6,0,
13.8533,4.43939,0.58899,1.612,5.52181,6,0,
13.8567,4.38538,0.585938,1.612,5.52181,6,0,
13.86,4.37988,0.587464,1.612,5.52181,6,0,
13.8633,4.38538,0.587464,1.612,5.52181,6,0,
13.8667,4.38568,0.587464,1.612,5.52181,6,0,
13.87,4.39545,0.590516,0,5.52181,6,0,
13.8733,4.44366,0.592042,0,5.52181,6,0,
13.8767,4.61578,0.587464,0,5.52181,6,0,
13.88,4.90509,0.587464,0,5.52181,6,0,
13.8833,5.25269,0.587464,0,5.52181,6,0,
13.8867,5.52216,0.585938,0,19.9867,6,0,
13.89,5.65918,0.58899,3.002,19.9867,6,0,
13.8933,5.7132,0.587464,3.002,19.9867,6,0,
13.8967,5.75226,0.58899,3.002,19.9867,6,0,
13.9,5.7428,0.587464,3.002,19.9867,6,0,
13.9033,5.66864,0.585938,3.002,19.9867,6,0,
13.9067,5.52246,0.58899,3.002,19.9867,6,0,
13.91,5.33081,0.585938,3.002,19.9867,6,0,
13.9133,5.15137,0.585938,3.002,19.9867,6,0,
13.9167,4.96857,0.58899,3.002,19.9867,6,0,
13.92,4.80682,0.584413,0,19.9867,6,0,
13.9233,4.71344,0.587464,2.506,19.9867,6,0,
13.9267,4.66034,0.58899,2.506,19.9867,6,0,
13.93,4.60632,0.58899,0.332,19.9867,6,0,
13.9333,4.55658,0.585938,0.332,19.9867,6,0,
13.9367,4.49768,0.587464,0.332,19.9867,6,0,
13.94,4.47357,0.587464,0.332,19.9867,6,0,
13.9433,4.46899,0.587464,0.332,19.9867,6,0,
13.9467,4.47357,0.58899,0.332,19.9867,6,0,
13.95,4.45404,0.587464,0.332,19.9867,6,0,
13.9533,4.43939,0.575257,0.332,19.9867,6,0,
13.9567,4.45404,0.576783,0.332,19.9867,6,0,
13.96,4.53827,0.575257,0.332,19.9867,6,0,
13.9633,4.6698,0.575257,0.332,19.9867,6,0,
13.9667,4.83124,0.576783,0.332,19.9867,6,0,
13.97,5.08606,0.573731,0.332,19.9867,6,0,
13.9733,5.33997,0.576783,0,19.9867,6,0,
13.9767,5.52185,0.575257,0,11.2402,6,0,
13.98,5.62927,0.578309,2.168,11.2402,6,0,
13.9833,5.70251,0.575257,2.168,11.2402,6,0,
13.9867,5.73761,0.576783,2.168,11.2402,6,0,
13.99,5.71747,0.576783,2.168,11.2402,6,0,
13.9933,5.64453,0.573731,2.168,11.2402,6,0,
13.9967,5.56122,0.576783,2.168,11.2402,6,0,
14,5.448,0.573731,2.168,11.2402,6,0,
14.0033,5.25238,0.575257,2.168,11.2402,6,0,
14.0067,5.05219,0.576783,2.168,11.2402,6,0,
14.01,4.90479,0.573731,0,11.2402,6,0,
14.0133,4.7876,0.576783,0,11.2402,6,0,
14.0167,4.68903,0.576783,2.774,11.2402,6,0,
14.02,4.61578,0.576783,2.774,11.2402,6,0,
14.0233,4.59137,0.578309,2.774,11.2402,6,0,
14.0267,4.58618,0.576783,2.774,11.2402,6,0,
14.03,4.5813,0.575257,2.774,11.2402,6,0,
14.0333,4.57642,0.576783,2.774,11.2402,6,0,
14.0367,4.62524,0.573731,2.774,11.2402,6,0,
14.04,4.70856,0.579835,2.774,11.2402,6,0,
14.0433,4.8407,0.575257,2.774,11.2402,6,0,
14.0467,4.95911,0.576783,2.774,11.2402,6,0,
14.05,5.12543,0.575257,2.774,11.2402,6,0,
14.0533,5.33051,0.576783,2.774,11.2402,6,0,
14.0567,5.44373,0.575257,2.108,12.29,6,0,
14.06,5.41382,0.575257,2.108,12.29,6,0,
