min,CH1,CH14,CH40,CH42,CH47,CH54,
185.407,3.21991,9.20258,0.938,9.82962,741,5,
185.407,3.21991,9.20258,0.938,9.82962,741,5,
185.407,3.22052,9.20105,0.938,9.82962,741,5,
185.407,3.21991,9.2041,0.938,9.82962,741,5,
185.407,3.21991,9.20258,0.938,9.82962,741,5,
185.407,3.21564,9.20258,0.938,9.82962,741,5,
185.407,3.21503,9.20258,0.938,9.82962,741,5,
185.407,3.21503,9.20105,0.938,9.82962,741,5,
185.407,3.21472,9.20563,0.938,9.82962,741,5,
185.407,3.21533,9.20258,0.938,9.82962,741,5,
185.407,3.21472,9.2041,0.938,9.82962,741,5,
185.407,3.21075,9.198,0.938,9.82962,741,5,
185.407,3.21045,9.2041,0.938,9.82962,741,5,
185.407,3.21014,9.198,0.938,9.82962,741,5,
185.407,3.21014,9.20105,0.938,9.82962,741,5,
185.407,3.21014,9.19952,0.938,9.82962,741,5,
185.407,3.20679,9.2041,0.938,9.82962,741,5,
185.407,3.20557,9.19952,0.938,9.82962,741,5,
185.407,3.20587,9.198,0.938,9.82962,741,5,
185.407,3.20557,9.1919,0.938,9.82962,741,5,
185.407,3.20618,9.19037,0.938,9.82962,741,5,
185.407,3.20526,9.1919,0.938,9.82962,741,5,
185.407,3.20099,9.18884,0.938,9.82962,741,5,
185.407,3.20068,9.1919,0.938,9.82962,741,5,
185.408,3.20038,9.1919,0.938,9.82962,741,5,
185.408,3.20068,9.18732,0.938,9.82962,741,5,
185.408,3.20038,9.18732,0.938,9.82962,741,5,
185.408,3.1955,9.1919,0.938,9.82962,741,5,
185.408,3.19611,9.1919,0.938,9.82962,741,5,
185.408,3.1958,9.18732,0.938,9.82962,741,5,
185.408,3.1958,9.19037,0.938,9.82962,741,5,
185.408,3.19611,9.1919,0.938,9.82962,741,5,
185.408,3.19092,9.1919,0.938,9.82962,741,5,
185.408,3.19061,9.19037,0.938,9.82962,741,5,
185.408,3.19,9.1919,0.938,9.82962,741,5,
185.408,3.19092,9.18884,0.938,9.82962,741,5,
185.408,3.19061,9.19037,0.938,9.82962,741,5,
185.408,3.18665,9.18732,0.938,9.82962,741,5,
185.408,3.18512,9.18884,0.938,9.82962,741,5,
185.408,3.18573,9.18579,0.938,9.82962,741,5,
185.408,3.18604,9.18884,0.938,9.82962,741,5,
185.408,3.18665,9.19037,0.938,9.82962,741,5,
185.408,3.18115,9.19037,0.938,9.82962,741,5,
185.408,3.18176,9.19342,0.938,9.82962,741,5,
185.408,3.18115,9.19037,0.938,9.82962,741,5,
185.408,3.18115,9.18884,0.938,9.82962,741,5,
185.408,3.17902,9.18884,0.938,9.82962,741,5,
185.408,3.17535,9.19037,0.938,9.82962,741,5,
185.408,3.17596,9.19037,0.938,9.82962,741,5,
185.408,3.17627,9.19037,0.938,9.82962,741,5,
185.408,3.17627,9.18579,0.938,9.82962,741,5,
185.408,3.17139,9.18732,0.938,9.82962,741,5,
185.408,3.17169,9.19342,0.938,9.82962,741,5,
185.409,3.17078,9.18884,0.938,9.82962,741,5,
185.409,3.17139,9.19037,0.938,9.82962,741,5,
185.409,3.16742,9.19037,0.938,9.82962,741,5,
185.409,3.1665,9.18884,0.938,9.82962,741,5,
185.409,3.16681,9.19037,0.938,9.82962,741,5,
185.409,3.1665,9.19037,0.938,9.82962,741,5,
185.409,3.1662,9.18884,0.938,9.82962,741,5,
185.409,3.16162,9.18884,0.938,9.82962,741,5,
185.409,3.16101,9.18732,0.938,9.82962,741,5,
185.409,3.16132,9.18579,0.938,9.82962,741,5,
185.409,3.16162,9.19037,0.938,9.82962,741,5,
185.409,3.15643,9.19342,0.938,9.82962,741,5,
185.409,3.15674,9.18732,0.938,9.82962,741,5,
185.409,3.15643,9.19037,0.938,9.82962,741,5,
185.409,3.15704,9.1919,0.938,9.82962,741,5,
185.409,3.15216,9.1919,0.938,9.82962,741,5,
185.409,3.15186,9.19037,0.938,9.82962,741,5,
185.409,3.15186,9.19037,0.938,9.82962,741,5,
185.409,3.15186,9.19342,0.938,9.82962,741,5,
185.409,3.14636,9.19037,0.938,9.82962,741,5,
185.409,3.14667,9.19037,0.938,9.82962,741,5,
185.409,3.14667,9.19037,0.938,9.82962,741,5,
185.409,3.14667,9.19037,0.938,9.82962,741,5,
185.409,3.14178,9.1919,0.938,9.82962,741,5,
185.409,3.14209,9.18579,0.938,9.82962,741,5,
185.409,3.14209,9.18732,0.938,9.82962,741,5,
185.409,3.13965,9.19037,0.938,9.82962,741,5,
185.409,3.1366,9.19037,0.938,9.82962,741,5,
185.409,3.13751,9.18884,0.938,9.82962,741,5,
185.409,3.1369,9.19037,0.938,9.82962,741,5,
185.41,3.13263,9.18884,0.938,9.82962,741,5,
185.41,3.13263,9.18121,0.938,9.82962,741,5,
185.41,3.13232,9.17969,0.938,9.82962,741,5,
185.41,3.13049,9.17358,0.938,9.82962,741,5,
185.41,3.12714,9.17664,0.938,9.82962,741,5,
185.41,3.12714,9.17816,0.938,9.82962,741,5,
185.41,3.12775,9.17664,0.938,9.82962,741,5,
185.41,3.12256,9.17816,0.938,9.82962,741,5,
185.41,3.12317,9.17816,0.938,9.82962,741,5,
185.41,3.12225,9.17969,0.938,9.82962,741,5,
185.41,3.12012,9.17969,0.938,9.82962,741,5,
185.41,3.11768,9.17969,0.938,9.82962,741,5,
185.41,3.11768,9.17816,0.938,9.82962,741,5,
185.41,3.11737,9.17816,0.938,9.82962,741,5,
185.41,3.11279,9.17511,0.938,9.82962,741,5,
185.41,3.11279,9.17664,0.938,9.82962,741,5,
185.41,3.11249,9.17664,0.938,9.82962,741,5,
185.41,3.1076,9.18121,0.938,9.82962,741,5,
185.41,3.1073,9.17816,0.938,9.82962,741,5,
185.41,3.1073,9.17816,0.938,9.82962,741,5,
185.41,3.10272,9.17816,0.938,9.82962,741,5,
185.41,3.10272,9.17664,0.938,9.82962,741,5,
185.41,3.10211,9.17816,0.938,9.82962,741,5,
185.41,3.09906,9.17816,0.938,9.82962,741,5,
