3800-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
sec,CH1,CH14,CH40,CH42,CH47,CH54,
,49630,49630,49630,49630,49630,49630,
4226.79,3.32764,9.8999,0.744,19.7759,236,5,
4226.79,3.32214,9.89533,0.744,19.7759,236,5,
4226.79,3.32306,9.89838,0.744,19.7759,236,5,
4226.79,3.31787,9.89838,0.744,19.7759,236,5,
4226.8,3.31726,9.89685,0.744,19.7759,236,5,
4226.8,3.31451,9.8938,0.744,19.7759,236,5,
4226.8,3.31268,9.89533,0.744,19.7759,236,5,
4226.8,3.31268,9.89533,0.744,19.7759,236,5,
4226.8,3.3075,9.89685,0.744,19.7759,236,5,
4226.81,3.30811,9.89685,0.744,19.7759,236,5,
4226.81,3.30292,9.89685,0.744,19.7759,236,5,
4226.81,3.30292,9.89838,0.744,19.7759,236,5,
4226.81,3.29895,9.89533,0.744,19.7759,236,5,
4226.81,3.29773,9.89533,0.744,19.7759,236,5,
4226.82,3.29376,9.89685,0.744,19.7759,236,5,
4226.82,3.29315,9.8938,0.744,19.7759,236,5,
4226.82,3.29102,9.89838,0.744,19.7759,236,5,
4226.82,3.28796,9.89533,0.744,19.7759,236,5,
4226.82,3.28766,9.89838,0.744,19.7759,236,5,
4226.83,3.28339,9.8938,0.744,19.7759,236,5,
4226.83,3.28369,9.8999,0.744,19.7759,236,5,
4226.83,3.2782,9.89685,0.744,19.7759,236,5,
4226.83,3.27881,9.89685,0.744,19.7759,236,5,
4226.83,3.27301,9.89685,0.744,19.7759,236,5,
4226.84,3.27362,9.89685,0.744,19.7759,236,5,
4226.84,3.26874,9.89838,0.744,19.7759,236,5,
4226.84,3.26874,9.89685,0.744,19.7759,236,5,
4226.84,3.26447,9.89685,0.744,19.7759,236,5,
4226.84,3.26416,9.89533,0.744,19.7759,236,5,
4226.85,3.25867,9.89533,0.744,19.7759,236,5,
4226.85,3.25867,9.89685,0.744,19.7759,236,5,
4226.85,3.25439,9.89838,0.744,19.7759,236,5,
4226.85,3.25378,9.89533,0.744,19.7759,236,5,
4226.85,3.24921,9.8938,0.744,19.7759,236,5,
4226.86,3.24921,9.89685,0.744,19.7759,236,5,
4226.86,3.24402,9.89838,0.744,19.7759,236,5,
4226.86,3.24432,9.89533,0.744,19.7759,236,5,
4226.86,3.23883,9.89838,0.744,19.7759,236,5,
4226.86,3.23883,9.89838,0.744,19.7759,236,5,
4226.87,3.23486,9.89838,0.744,19.7759,236,5,
4226.87,3.23425,9.89533,0.744,19.7759,236,5,
4226.87,3.22968,9.89533,0.744,19.7759,236,5,
4226.87,3.22937,9.89685,0.744,19.7759,236,5,
4226.87,3.22479,9.8938,0.744,19.7759,236,5,
4226.88,3.22449,9.89838,0.744,19.7759,236,5,
4226.88,3.2196,9.89685,0.744,19.7759,236,5,
4226.88,3.2193,9.89685,0.744,19.7759,236,5,
4226.88,3.21472,9.89533,0.744,19.7759,236,5,
4226.88,3.21198,9.89685,0.744,19.7759,236,5,
4226.89,3.21014,9.89838,0.744,19.7759,236,5,
4226.89,3.20679,9.89838,0.744,19.7759,236,5,
4226.89,3.20465,9.89838,0.744,19.7759,236,5,
4226.89,3.2016,9.88464,0.744,19.7759,236,5,
4226.89,3.20038,9.88464,0.744,19.7759,236,5,
4226.9,3.19611,9.88312,0.744,19.7759,236,5,
4226.9,3.1955,9.88312,0.744,19.7759,236,5,
4226.9,3.19092,9.88617,0.744,19.7759,236,5,
4226.9,3.19,9.88312,0.744,19.7759,236,5,
4226.9,3.18634,9.88312,0.744,19.7759,236,5,
4226.91,3.18542,9.88312,0.744,19.7759,236,5,
4226.91,3.18054,9.88617,0.744,19.7759,236,5,
4226.91,3.18054,9.88159,0.744,19.7759,236,5,
4226.91,3.17627,9.88159,0.744,19.7759,236,5,
4226.91,3.17596,9.88464,0.744,19.7759,236,5,
4226.92,3.17078,9.88312,0.744,19.7759,236,5,
4226.92,3.17078,9.88312,0.744,19.7759,236,5,
4226.92,3.16528,9.88464,0.744,19.7759,236,5,
4226.92,3.16559,9.88464,0.744,19.7759,236,5,
4226.92,3.16071,9.8877,0.744,19.7759,236,5,
4226.93,3.1604,9.88464,0.744,19.7759,236,5,
4226.93,3.15582,9.88617,0.744,19.7759,236,5,
4226.93,3.15308,9.88464,0.744,19.7759,236,5,
4226.93,3.15186,9.88312,0.744,19.7759,236,5,
4226.93,3.1485,9.88464,0.744,19.7759,236,5,
4226.94,3.14667,9.8877,0.744,19.7759,236,5,
4226.94,3.14362,9.88464,0.744,19.7759,236,5,
