sec,CH1,CH14,CH40,CH42,CH47,CH54
11368,1.82404,14.6286,0,18.7383,1274,5
11368,1.83105,14.6301,0,18.7383,1274,5
11368,1.83563,14.6271,0,18.7383,1274,5
11368,1.84082,14.6271,0,18.7383,1274,5
11368,1.8454,14.6301,0,18.7383,1274,5
11368,1.85059,14.6301,0,18.7383,1274,5
11368,1.85486,14.6301,0,18.7383,1274,5
11368,1.86035,14.6286,0,18.7383,1274,5
11368,1.86554,14.6286,0,18.7383,1274,5
11368,1.86981,14.6301,0,18.7383,1274,5
11368,1.875,14.6271,0,18.7383,1274,5
11368,1.88019,14.6149,0,18.7383,1274,5
11368,1.88171,14.6133,0,18.7383,1274,5
11368,1.88751,14.6149,0,18.7383,1274,5
11368,1.89209,14.6164,0,18.7383,1274,5
11368,1.89728,14.6118,0,18.7383,1274,5
11368,1.90186,14.6164,0,18.7383,1274,5
11368,1.90674,14.6164,0,18.7383,1274,5
11368,1.90918,14.6164,0,18.7383,1274,5
11368,1.91193,14.6179,0,18.7383,1274,5
11368,1.9165,14.6149,0,18.7383,1274,5
11368,1.92108,14.6179,0,18.7383,1274,5
11368,1.92566,14.6164,0,18.7383,1274,5
11368,1.92719,14.6164,0,18.7383,1274,5
11368,1.93146,14.6164,0,18.7383,1274,5
11368,1.93573,14.6164,0,18.7383,1274,5
11368,1.93604,14.6194,0,18.7383,1274,5
11368,1.94031,14.6164,0,18.7383,1274,5
11368,1.9458,14.6164,0,18.7383,1274,5
11368,1.94702,14.6164,0,18.7383,1274,5
11368,1.95129,14.6149,0,18.7383,1274,5
11368,1.95343,14.6133,0,18.7383,1274,5
11368,1.95526,14.6164,0,18.7383,1274,5
11368,1.95984,14.6133,0,18.7383,1274,5
11368,1.96075,14.6194,0,18.7383,1274,5
11368,1.96594,14.6164,0,18.7383,1274,5
11368,1.96625,14.6149,0,18.7383,1274,5
11368,1.9693,14.6149,0,18.7383,1274,5
11368,1.97083,14.6133,0,18.7383,1274,5
11368,1.97327,14.6179,0,18.7383,1274,5
11368,1.97601,14.6133,0,18.7383,1274,5
11368,1.97632,14.6164,0,18.7383,1274,5
11368,1.98059,14.6164,0,18.7383,1274,5
11368,1.98059,14.6149,0,18.7383,1274,5
11368,1.98029,14.6179,0,18.7383,1274,5
11368,1.98578,14.6027,0,18.7383,1274,5
11368,1.98578,14.6042,0,18.7383,1274,5
11368,1.98639,14.6042,0,18.7383,1274,5
11368,1.98792,14.6042,0,18.7383,1274,5
11368.1,1.99066,14.6042,0,18.7383,1274,5
11368.1,1.99066,14.5996,0,18.7383,1274,5
11368.1,1.99066,14.6042,0,18.7383,1274,5
11368.1,1.99036,14.6057,0,18.7383,1274,5
11368.1,1.99066,14.6057,0,18.7383,1274,5
11368.1,1.99463,14.6027,0,18.7383,1274,5
11368.1,1.99554,14.6057,0,18.7383,1274,5
11368.1,1.99524,14.6042,0,18.7383,1274,5
11368.1,1.99524,14.6042,0,18.7383,1274,5
11368.1,1.99554,14.6042,0,18.7383,1274,5
11368.1,1.99493,14.6042,0,18.7383,1274,5
11368.1,1.99615,14.6088,0,18.7383,1274,5
11368.1,1.99554,14.6011,0,18.7383,1274,5
11368.1,1.99524,14.6011,0,18.7383,1274,5
11368.1,1.99585,14.6011,0,18.7383,1274,5
11368.1,1.99585,14.6042,0,18.7383,1274,5
11368.1,1.99097,14.6027,0,18.7383,1274,5
11368.1,1.99127,14.6057,0,18.7383,1274,5
11368.1,1.99005,14.6027,0,18.7383,1274,5
11368.1,1.99036,14.6042,0,18.7383,1274,5
11368.1,1.99066,14.6027,0,18.7383,1274,5
11368.1,1.98822,14.6027,0,18.7383,1274,5
11368.1,1.98578,14.6011,0,18.7383,1274,5
11368.1,1.98608,14.6027,0,18.7383,1274,5
11368.1,1.98608,14.6057,0,18.7383,1274,5
11368.1,1.9812,14.6057,0,18.7383,1274,5
11368.1,1.9812,14.6057,0,18.7383,1274,5
11368.1,1.98059,14.6027,0,18.7383,1274,5
11368.1,1.97632,14.6027,0,18.7383,1274,5
11368.1,1.97601,14.6042,0,18.7383,1274,5
11368.1,1.97357,14.6027,0,18.7383,1274,5
11368.1,1.97113,14.6027,2.85,18.7383,1274,5
11368.1,1.97113,14.6027,2.85,18.7383,1274,5
11368.1,1.96625,14.6057,2.85,18.7383,1274,5
11368.1,1.96625,14.6042,2.85,18.7383,1274,5
11368.1,1.96106,14.6057,2.85,18.7383,1274,5
11368.1,1.96106,14.6042,2.85,18.7383,1274,5
11368.1,1.95648,14.6057,2.85,18.7383,1274,5
11368.1,1.95343,14.6057,2.85,19.1327,1274,5
11368.1,1.95129,14.6027,2.85,19.1327,1274,5
11368.1,1.94702,14.592,2.85,19.1327,1274,5
11368.1,1.94672,14.5889,2.85,19.1327,1274,5
11368.1,1.94153,14.5905,2.85,19.1327,1274,5
11368.1,1.93726,14.5905,2.85,19.1327,1274,5
11368.1,1.93665,14.592,2.85,19.1327,1274,5
11368.1,1.93207,14.5935,2.85,19.1327,1274,5
11368.1,1.92749,14.5905,2.85,19.1327,1274,5
11368.1,1.92474,14.595,2.85,19.1327,1274,5
11368.1,1.92139,14.5935,2.85,19.1327,1274,5
11368.1,1.91742,14.592,2.85,19.1327,1274,5
11368.2,1.91315,14.5889,2.85,19.1327,1274,5
11368.2,1.90948,14.595,2.85,19.1327,1274,5
11368.2,1.90704,14.5889,2.85,19.1327,1274,5
11368.2,1.90155,14.5905,2.85,19.1327,1274,5
11368.2,1.89728,14.592,2.85,19.1327,1274,5
11368.2,1.89301,14.592,2.85,19.1327,1274,5
11368.2,1.88995,14.5935,2.85,19.1327,1274,5
11368.2,1.88751,14.5874,2.85,19.1327,1274,5
11368.2,1.88293,14.592,2.85,19.1327,1274,5
11368.2,1.87805,14.5905,2.85,19.1327,1274,5
11368.2,1.87256,14.592,2.85,19.1327,1274,5
11368.2,1.86798,14.592,2.85,19.1327,1274,5
11368.2,1.86371,14.5935,2.85,19.1327,1274,5
11368.2,1.85852,14.592,2.85,19.1327,1274,5
11368.2,1.85333,14.592,2.85,19.1327,1274,5
11368.2,1.85059,14.5905,2.85,19.1327,1274,5
11368.2,1.84601,14.5874,2.85,19.1327,1274,5
11368.2,1.84082,14.592,2.85,19.1327,1274,5
11368.2,1.83624,14.5905,2.85,19.1327,1274,5
11368.2,1.83167,14.592,2.85,19.1327,1274,5
11368.2,1.82648,14.5905,2.85,19.1327,1274,5
11368.2,1.82159,14.5935,2.85,19.1327,1274,5
11368.2,1.81641,14.592,2.85,19.1327,1274,5
11368.2,1.81122,14.592,2.85,19.1327,1274,5
11368.2,1.80511,14.592,2.85,19.1327,1274,5
11368.2,1.79962,14.5905,2.85,19.1327,1274,5
11368.2,1.79535,14.592,2.85,19.1327,1274,5
11368.2,1.78986,14.5889,2.85,19.1327,1274,5
11368.2,1.78436,14.5935,2.85,19.1327,1274,5
11368.2,1.7804,14.5905,2.85,19.1327,1274,5
11368.2,1.7749,14.5935,2.85,19.1327,1274,5
11368.2,1.77002,14.5889,2.85,19.1327,1274,5
11368.2,1.7627,14.592,2.85,19.1327,1274,5
11368.2,1.75751,14.5905,2.85,19.1327,1274,5
11368.2,1.75049,14.5905,2.85,19.1327,1274,5
11368.2,1.74591,14.5935,2.85,19.1327,1274,5
11368.2,1.74011,14.5935,2.85,19.1327,1274,5
11368.2,1.73553,14.5935,2.85,19.1327,1274,5
11368.2,1.7276,14.5935,2.85,19.1327,1274,5
11368.2,1.72302,14.592,2.85,19.1327,1274,5
11368.2,1.71692,14.5935,2.85,19.1327,1274,5
11368.2,1.71143,14.5905,2.85,19.1327,1274,5
11368.2,1.70624,14.592,2.85,19.1327,1274,5
11368.2,1.6983,14.5889,2.85,19.1327,1274,5
11368.2,1.69189,14.5905,2.85,19.1327,1274,5
11368.2,1.68732,14.5752,2.85,19.1327,1274,5
11368.2,1.67877,14.5798,2.85,19.1327,1274,5
11368.2,1.6748,14.5782,2.85,19.1327,1274,5
11368.2,1.66779,14.5813,2.85,19.1327,1274,5
11368.2,1.66199,14.5813,2.85,19.1327,1274,5
11368.3,1.65497,14.5798,2.85,19.1327,1274,5
11368.3,1.64795,14.5767,2.85,19.1327,1274,5
11368.3,1.64215,14.5782,2.85,19.1327,1274,5
11368.3,1.63544,14.5782,2.85,19.1327,1274,5
11368.3,1.62903,14.5782,2.85,19.1327,1274,5
11368.3,1.62292,14.5798,2.85,19.1327,1274,5
11368.3,1.6156,14.5798,2.85,19.1327,1274,5
11368.3,1.60828,14.5828,2.85,19.1327,1274,5
11368.3,1.60065,14.5798,2.85,19.1327,1274,5
11368.3,1.59332,14.5782,2.85,19.1327,1274,5
11368.3,1.58844,14.5813,2.85,19.1327,1274,5
11368.3,1.58142,14.5782,2.85,19.1327,1274,5
11368.3,1.57318,14.5782,2.85,19.1327,1274,5
11368.3,1.56586,14.5813,2.85,19.1327,1274,5
11368.3,1.55975,14.5828,2.85,19.1327,1274,5
11368.3,1.55151,14.5767,2.85,19.1327,1274,5
11368.3,1.5448,14.5813,2.85,19.1327,1274,5
11368.3,1.53992,14.5813,2.85,19.1327,1274,5
11368.3,1.53198,14.5813,2.85,19.1327,1274,5
11368.3,1.52527,14.5782,2.85,19.1327,1274,5
11368.3,1.51764,14.5767,2.85,19.1327,1274,5
11368.3,1.51031,14.5782,2.85,19.1327,1274,5
11368.3,1.5033,14.5782,2.85,19.1327,1274,5
11368.3,1.49597,14.5798,2.85,19.1327,1274,5
11368.3,1.48773,14.5782,2.85,19.1327,1274,5
11368.3,1.48132,14.5813,2.85,19.1327,1274,5
11368.3,1.47369,14.5767,2.85,19.1327,1274,5
11368.3,1.46667,14.5767,2.85,19.1327,1274,5
11368.3,1.45844,14.5798,2.85,19.1327,1274,5
11368.3,1.45233,14.5767,2.85,19.1327,1274,5
11368.3,1.44379,14.5813,2.85,19.1327,1274,5
11368.3,1.43768,14.5782,2.85,19.1327,1274,5
11368.3,1.42914,14.5782,2.85,19.1327,1274,5
11368.3,1.42242,14.5813,2.85,19.1327,1274,5
11368.3,1.41388,14.5798,2.85,19.1327,1274,5
11368.3,1.40839,14.5782,2.85,19.1327,1274,5
11368.3,1.39984,14.5813,2.85,19.1327,1274,5
11368.3,1.39313,14.5798,2.85,19.1327,1274,5
11368.3,1.38519,14.5782,2.85,19.1327,1274,5
11368.3,1.37787,14.5782,2.85,19.1327,1274,5
11368.3,1.36871,14.5782,2.85,19.1327,1274,5
11368.3,1.36292,14.5767,2.85,19.1327,1274,5
11368.3,1.35376,14.5782,2.85,19.1327,1274,5
11368.3,1.34552,14.5767,2.85,19.1327,1274,5
11368.3,1.33911,14.5767,2.85,19.1327,1274,5
11368.3,1.33087,14.5798,2.85,19.1327,1274,5
11368.3,1.32477,14.5782,2.85,19.1327,1274,5
11368.3,1.31622,14.5828,2.85,19.1327,1274,5
11368.3,1.30981,14.5798,2.85,19.1327,1274,5
11368.4,1.30157,14.5782,2.85,19.1327,1274,5
11368.4,1.29425,14.5798,2.85,19.1327,1274,5
11368.4,1.2851,14.5813,2.85,19.1327,1274,5
11368.4,1.27991,14.5798,2.85,19.1327,1274,5
11368.4,1.27045,14.5782,2.85,19.1327,1274,5
11368.4,1.26282,14.5782,2.85,19.1327,1274,5
11368.4,1.25519,14.5813,2.85,19.1327,1274,5
11368.4,1.24756,14.5782,2.85,19.1327,1274,5
11368.4,1.24115,14.5737,2.85,19.1327,1274,5
11368.4,1.2323,14.5645,2.85,19.1327,1274,5
11368.4,1.2262,14.566,2.85,19.1327,1274,5
11368.4,1.21826,14.5645,2.85,19.1327,1274,5
11368.4,1.21185,14.5691,2.85,19.1327,1274,5
11368.4,1.2027,14.5676,2.85,19.1327,1274,5
11368.4,1.1969,14.5691,2.85,19.1327,1274,5
11368.4,1.18683,14.563,2.85,19.1327,1274,5
11368.4,1.1795,14.5676,2.85,19.1327,1274,5
11368.4,1.1731,14.5676,2.85,19.1327,1274,5
11368.4,1.16425,14.566,2.85,19.1327,1274,5
11368.4,1.15814,14.566,2.85,19.1327,1274,5
11368.4,1.1499,14.563,2.85,19.1327,1274,5
11368.4,1.14349,14.5645,2.85,19.1327,1274,5
11368.4,1.13556,14.5645,2.85,19.1327,1274,5
11368.4,1.12854,14.5645,2.85,19.1327,1274,5
11368.4,1.1203,14.5676,2.85,19.1327,1274,5
11368.4,1.11389,14.5676,2.85,19.1327,1274,5
11368.4,1.10565,14.566,2.85,19.1327,1274,5
11368.4,1.09894,14.566,2.85,19.1327,1274,5
11368.4,1.09039,14.5645,2.85,19.1327,1274,5
11368.4,1.08459,14.566,2.85,19.1327,1274,5
11368.4,1.07635,14.566,2.85,19.1327,1274,5
11368.4,1.06995,14.566,2.85,19.1327,1274,5
11368.4,1.06201,14.5645,2.85,19.1327,1274,5
11368.4,1.0553,14.5645,2.85,19.1327,1274,5
11368.4,1.04675,14.5676,2.85,19.1327,1274,5
11368.4,1.04065,14.566,2.85,19.1327,1274,5
11368.4,1.0318,14.566,2.85,19.1327,1274,5
11368.4,1.026,14.5691,2.85,19.1327,1274,5
11368.4,1.01776,14.5676,2.85,19.1327,1274,5
11368.4,1.01105,14.5676,2.85,19.1327,1274,5
11368.4,1.00555,14.5691,2.85,19.1327,1274,5
11368.4,0.997925,14.5676,2.85,19.1327,1274,5
11368.4,0.990906,14.566,2.85,19.1327,1274,5
11368.4,0.983887,14.5676,2.85,19.1327,1274,5
11368.4,0.976868,14.5645,2.85,19.1327,1274,5
11368.4,0.968628,14.5676,2.85,19.1327,1274,5
11368.4,0.961304,14.5645,2.85,19.1327,1274,5
11368.4,0.956116,14.5676,2.85,19.1327,1274,5
11368.4,0.947876,14.563,2.85,19.1327,1274,5
11368.4,0.942383,14.566,2.85,19.1327,1274,5
11368.5,0.934143,14.566,2.85,19.1327,1274,5
11368.5,0.927734,14.566,2.85,19.1327,1274,5
11368.5,0.922852,14.5676,2.85,19.1327,1274,5
11368.5,0.914917,14.566,2.85,19.1327,1274,5
11368.5,0.908203,14.5691,2.85,19.1327,1274,5
11368.5,0.902405,14.566,2.85,19.1327,1274,5
11368.5,0.89386,14.5676,2.85,19.1327,1274,5
11368.5,0.888062,14.566,2.85,19.1327,1274,5
11368.5,0.879822,14.5676,2.85,19.1327,1274,5
11368.5,0.873718,14.566,2.85,19.1327,1274,5
11368.5,0.86853,14.5676,2.85,19.1327,1274,5
11368.5,0.860596,14.566,2.85,19.1327,1274,5
11368.5,0.853882,14.5645,2.85,19.1327,1274,5
11368.5,0.848083,14.5691,2.85,19.1327,1274,5
11368.5,0.843201,14.5676,2.85,19.1327,1274,5
11368.5,0.836182,14.5615,2.85,19.1327,1274,5
11368.5,0.829468,14.5645,2.85,19.1327,1274,5
11368.5,0.823975,14.5676,2.85,19.1327,1274,5
11368.5,0.816956,14.5676,2.85,19.1327,1274,5
11368.5,0.810547,14.5676,2.85,19.1327,1274,5
11368.5,0.803528,14.5538,2.85,19.1327,1274,5
11368.5,0.799561,14.5523,2.85,19.1327,1274,5
11368.5,0.791626,14.5538,2.85,19.1327,1274,5
11368.5,0.785217,14.5538,2.85,19.1327,1274,5
11368.5,0.780334,14.5523,2.85,19.1327,1274,5
11368.5,0.775452,14.5538,2.85,19.1327,1274,5
11368.5,0.767517,14.5554,2.85,19.1327,1274,5
11368.5,0.762329,14.5554,2.85,19.1327,1274,5
11368.5,0.755615,14.5523,2.85,19.1327,1274,5
11368.5,0.750427,14.5554,2.85,19.1327,1274,5
11368.5,0.74585,14.5508,2.85,19.1327,1274,5
11368.5,0.737915,14.5508,2.85,19.1327,1274,5
11368.5,0.733337,14.5554,2.85,19.1327,1274,5
11368.5,0.726624,14.5554,2.85,19.1327,1274,5
11368.5,0.72113,14.5523,2.85,19.1327,1274,5
11368.5,0.716248,14.5569,2.85,19.1327,1274,5
11368.5,0.71167,14.5538,2.85,19.1327,1274,5
11368.5,0.706787,14.5554,2.85,19.1327,1274,5
11368.5,0.699158,14.5538,2.85,19.1327,1274,5
11368.5,0.694275,14.5493,2.85,19.1327,1274,5
11368.5,0.687561,14.5523,2.85,19.1327,1274,5
11368.5,0.682678,14.5538,2.85,19.1327,1274,5
