6700-SECPT.acq
2 msec/sample
6 channels
RSP, X, RSPEC-R
Volts
EDA, Y, PPGED-R
microsiemens
ECG R-R
Seconds
Respiration Rate
BPM
C7 - EDR
Peaks
C14 - Control
Volts
min,CH1,CH14,CH40,CH42,CH47,CH54,
,90222,90222,90222,90222,90222,90222,
172.526,3.5733,9.53217,2.7,11.5252,760,5,
172.526,3.56842,9.53674,2.7,11.5252,760,5,
172.526,3.56873,9.53522,2.7,11.5252,760,5,
172.526,3.56415,9.53064,2.7,11.5252,760,5,
172.526,3.56232,9.53369,2.7,11.5252,760,5,
172.526,3.55804,9.53064,2.7,11.5252,760,5,
172.526,3.55469,9.53064,2.7,11.5252,760,5,
172.526,3.55408,9.53369,2.7,11.5252,760,5,
172.526,3.54919,9.53674,2.7,11.5252,760,5,
172.526,3.54584,9.53369,2.7,11.5252,760,5,
172.526,3.54492,9.53674,2.7,11.5252,760,5,
172.526,3.54034,9.53217,2.7,11.5252,760,5,
172.526,3.5379,9.53217,2.7,11.5252,760,5,
172.526,3.53424,9.53217,2.7,11.5252,760,5,
172.526,3.53027,9.53217,2.7,11.5252,760,5,
172.526,3.52966,9.53217,2.7,11.5252,760,5,
172.526,3.52539,9.52911,2.7,11.5252,760,5,
172.526,3.52448,9.53217,2.7,11.5252,760,5,
172.526,3.51959,9.53217,2.7,11.5252,760,5,
172.526,3.51532,9.53522,2.7,11.5252,760,5,
172.527,3.51501,9.53369,2.7,11.5252,760,5,
172.527,3.50922,9.53217,2.7,11.5252,760,5,
172.527,3.50983,9.53369,2.7,11.5252,760,5,
172.527,3.50494,9.53369,2.7,11.5252,760,5,
172.527,3.50372,9.53064,2.7,11.5252,760,5,
172.527,3.50067,9.53217,2.7,11.5252,760,5,
172.527,3.49609,9.53674,2.7,11.5252,760,5,
172.527,3.49548,9.53064,2.7,11.5252,760,5,
172.527,3.4903,9.52911,2.7,11.5252,760,5,
172.527,3.4903,9.53217,2.7,11.5252,760,5,
172.527,3.48572,9.53217,2.7,11.5252,760,5,
172.527,3.48389,9.53217,2.7,11.5252,760,5,
172.527,3.48022,9.53217,2.7,11.5252,760,5,
172.527,3.47656,9.53522,2.7,11.5252,760,5,
172.527,3.47504,9.53217,2.7,11.5252,760,5,
172.527,3.47168,9.53369,2.7,11.5252,760,5,
172.527,3.47046,9.53217,2.7,11.5252,760,5,
172.527,3.46497,9.53217,2.7,11.5252,760,5,
172.527,3.4668,9.53674,2.7,11.5252,760,5,
172.527,3.46039,9.53674,2.7,11.5252,760,5,
172.527,3.45947,9.53217,2.7,11.5252,760,5,
172.527,3.45581,9.53522,2.7,11.5252,760,5,
172.527,3.4549,9.53369,2.7,11.5252,760,5,
172.527,3.45123,9.53369,2.7,11.5252,760,5,
172.527,3.44757,9.53522,2.7,11.5252,760,5,
172.527,3.44574,9.53217,2.7,11.5252,760,5,
172.527,3.44177,9.53217,2.7,11.5252,760,5,
172.527,3.44147,9.53369,2.7,11.5252,760,5,
172.527,3.43689,9.53217,2.7,11.5252,760,5,
172.528,3.43658,9.53217,2.7,11.5252,760,5,
172.528,3.4317,9.53369,2.7,11.5252,760,5,
172.528,3.43201,9.53217,2.7,11.5252,760,5,
172.528,3.42712,9.53369,2.7,11.5252,760,5,
172.528,3.42651,9.53217,2.7,11.5252,760,5,
172.528,3.42255,9.53217,2.7,11.5252,760,5,
172.528,3.42224,9.53217,2.7,11.5252,760,5,
172.528,3.41736,9.53217,2.7,11.5252,760,5,
172.528,3.41705,9.53217,2.7,11.5252,760,5,
172.528,3.41156,9.53522,2.7,11.5252,760,5,
172.528,3.41217,9.53217,2.7,11.5252,760,5,
172.528,3.40759,9.53217,2.7,11.5252,760,5,
172.528,3.40729,9.53522,2.7,11.5252,760,5,
172.528,3.40302,9.53064,2.7,11.5252,760,5,
172.528,3.4024,9.53217,2.7,11.5252,760,5,
172.528,3.39752,9.53217,2.7,11.5252,760,5,
172.528,3.39722,9.53522,2.7,11.5252,760,5,
172.528,3.39233,9.52911,2.7,11.5252,760,5,
172.528,3.39233,9.53369,2.7,11.5252,760,5,
172.528,3.38715,9.53217,2.7,11.5252,760,5,
172.528,3.38745,9.53369,2.7,11.5252,760,5,
172.528,3.38348,9.53522,2.7,11.5252,760,5,
172.528,3.38257,9.53674,2.7,11.5252,760,5,
172.528,3.3783,9.53217,2.7,11.5252,760,5,
172.528,3.37769,9.53369,2.7,11.5252,760,5,
172.528,3.37372,9.53217,2.7,11.5252,760,5,
172.528,3.37219,9.53217,2.7,11.5252,760,5,
172.528,3.37097,9.53369,2.7,11.5252,760,5,
172.528,3.36792,9.53369,2.7,11.5252,760,5,
172.528,3.36761,9.53217,2.7,11.5252,760,5,
172.529,3.36273,9.53522,2.7,11.5252,760,5,
172.529,3.36243,9.53217,2.7,11.5252,760,5,
172.529,3.35785,9.53217,2.7,11.5252,760,5,
172.529,3.35846,9.53369,2.7,11.5252,760,5,
172.529,3.35419,9.53217,2.7,11.5252,760,5,
172.529,3.35327,9.53369,2.7,11.5252,760,5,
172.529,3.35144,9.53217,2.7,11.5252,760,5,
172.529,3.34808,9.53522,2.7,11.5252,760,5,
172.529,3.34808,9.53064,2.7,11.5252,760,5,
172.529,3.34381,9.53522,2.7,11.5252,760,5,
172.529,3.3432,9.53674,2.7,11.5252,760,5,
172.529,3.33923,9.53369,2.7,11.5252,760,5,
172.529,3.33801,9.53217,2.7,11.5252,760,5,
172.529,3.33801,9.53369,2.7,11.5252,760,5,
172.529,3.33344,9.53369,2.7,11.5252,760,5,
172.529,3.33374,9.52911,2.7,11.5252,760,5,
172.529,3.32947,9.53217,2.7,11.5252,760,5,
172.529,3.32794,9.53369,2.7,11.5252,760,5,
172.529,3.32886,9.53369,2.7,11.5252,760,5,
172.529,3.32306,9.53064,2.7,11.5252,760,5,
172.529,3.32306,9.52911,2.7,11.5252,760,5,
